class,ring-type,cap-surface,spore-print-color,bruises,odor,gill-attachment,habitat,gill-size,gill-color
p,p,s,outros,t,outros,f,outros,n,outros
e,p,s,n,t,outros,f,g,b,outros
e,p,s,n,t,outros,f,outros,b,n
p,p,y,outros,t,outros,f,outros,n,n
e,e,s,n,f,n,f,g,b,k
e,p,y,outros,t,outros,f,g,b,n
e,p,s,outros,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,outros,b,n
p,p,y,outros,t,outros,f,g,n,outros
e,p,s,outros,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,outros,b,n
e,p,s,n,t,outros,f,g,b,w
p,p,y,n,t,outros,f,outros,n,outros
e,e,outros,outros,f,n,f,g,b,n
e,p,outros,n,f,n,f,u,n,k
e,e,outros,n,f,n,f,g,b,k
p,p,s,outros,t,outros,f,g,n,n
p,p,y,n,t,outros,f,outros,n,n
p,p,s,n,t,outros,f,outros,n,outros
e,p,s,n,t,outros,f,outros,b,outros
p,p,y,n,t,outros,f,g,n,n
e,p,y,n,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,outros,b,w
e,p,s,outros,t,outros,f,outros,b,outros
p,p,s,n,t,outros,f,g,n,n
e,p,y,n,t,outros,f,outros,b,n
e,p,y,n,t,outros,f,outros,b,w
e,p,outros,outros,f,n,f,u,n,k
e,p,s,n,t,outros,f,d,n,n
e,p,s,n,t,outros,f,outros,b,outros
p,p,y,n,t,outros,f,outros,n,outros
e,p,y,n,t,outros,f,outros,b,n
e,p,y,n,t,outros,f,p,b,outros
e,p,y,n,t,outros,f,outros,b,n
e,p,outros,n,t,outros,f,d,n,w
e,p,outros,outros,f,n,f,u,n,k
p,p,y,n,t,outros,f,outros,n,w
e,p,outros,n,t,outros,f,d,n,outros
e,p,s,outros,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,g,b,n
e,p,y,outros,t,outros,f,p,b,n
e,p,outros,outros,f,n,f,u,n,g
p,p,y,n,t,outros,f,g,n,outros
e,p,s,outros,t,outros,f,outros,b,w
e,p,y,n,t,outros,f,g,b,n
e,p,y,outros,t,outros,f,outros,b,outros
e,p,s,n,t,outros,f,outros,b,w
e,p,y,n,t,outros,f,p,b,n
e,p,y,outros,t,outros,f,p,b,w
e,p,y,outros,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,g,b,outros
e,p,s,n,t,outros,f,outros,b,outros
p,p,y,n,t,outros,f,outros,n,outros
p,p,s,outros,t,outros,f,outros,n,outros
e,p,y,outros,t,outros,f,outros,b,w
e,e,outros,n,f,n,f,g,b,n
e,p,s,n,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,p,b,outros
e,p,outros,n,f,n,f,u,n,k
e,p,y,n,t,outros,f,outros,b,outros
e,p,s,n,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,g,b,n
e,e,s,outros,f,n,f,g,b,k
e,p,s,outros,t,outros,f,g,b,n
e,p,y,n,t,outros,f,g,b,w
e,p,y,outros,t,outros,f,g,b,w
e,p,outros,n,f,n,f,u,n,p
e,p,outros,n,t,outros,f,d,n,outros
e,p,y,n,t,outros,f,outros,b,outros
e,p,outros,n,t,outros,f,d,n,w
e,p,y,outros,t,outros,f,p,b,outros
e,p,s,outros,t,outros,f,g,b,outros
e,p,s,n,t,outros,f,d,n,outros
e,p,s,outros,t,outros,f,d,n,n
e,p,y,n,t,outros,f,p,b,outros
p,p,y,n,t,outros,f,outros,n,w
e,p,y,n,t,outros,f,g,b,n
e,e,s,n,f,n,f,g,b,k
p,p,y,outros,t,outros,f,g,n,w
e,p,outros,n,f,n,f,u,n,n
e,e,outros,n,f,n,f,g,b,n
e,p,y,outros,t,outros,f,g,b,w
e,e,s,outros,f,n,f,g,b,k
e,p,s,outros,t,outros,f,g,b,w
e,p,s,n,t,outros,f,g,b,n
e,p,y,outros,t,outros,f,g,b,w
e,p,outros,n,f,n,f,u,n,n
e,p,outros,n,f,n,f,u,n,n
e,p,s,outros,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,outros,b,outros
e,e,s,n,f,n,f,g,b,n
e,p,s,n,t,outros,f,g,b,outros
e,p,y,n,t,outros,f,g,b,outros
e,p,s,outros,t,outros,f,g,b,n
e,p,s,n,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,g,b,outros
e,e,outros,outros,f,n,f,g,b,p
e,p,s,outros,t,outros,f,g,b,n
e,p,y,n,t,outros,f,g,b,w
e,p,y,outros,t,outros,f,p,b,n
e,p,y,n,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,outros,b,n
e,p,y,n,t,outros,f,g,b,w
e,p,y,outros,t,outros,f,outros,b,n
e,p,y,n,t,outros,f,outros,b,outros
e,p,s,outros,t,outros,f,outros,b,outros
e,p,s,outros,t,outros,f,g,b,w
e,p,outros,outros,f,n,f,u,n,g
e,p,outros,outros,t,outros,f,d,n,w
e,p,s,outros,t,outros,f,outros,b,n
p,p,y,n,t,outros,f,outros,n,n
e,p,y,n,t,outros,f,g,b,outros
e,p,outros,n,f,n,f,u,n,p
e,p,y,outros,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,d,n,outros
e,p,outros,n,f,n,f,u,n,k
p,p,s,outros,t,outros,f,g,n,outros
e,p,y,n,t,outros,f,outros,b,outros
p,p,y,outros,t,outros,f,g,n,outros
e,e,s,n,f,n,f,g,b,k
e,p,s,n,t,outros,f,outros,b,outros
e,e,s,outros,f,n,f,g,b,n
e,p,s,n,t,outros,f,g,b,w
e,e,outros,n,f,n,f,g,b,h
e,p,s,outros,t,outros,f,g,b,n
e,p,s,n,t,outros,f,outros,b,n
e,p,s,n,t,outros,f,g,b,w
e,p,y,n,t,outros,f,outros,b,w
e,p,s,outros,t,outros,f,d,n,w
e,p,y,outros,t,outros,f,outros,b,outros
e,p,s,n,t,outros,f,d,n,outros
p,p,y,n,t,outros,f,outros,n,w
e,p,outros,n,t,outros,f,d,n,w
e,p,y,n,t,outros,f,g,b,n
p,p,s,n,t,outros,f,g,n,outros
e,p,s,n,t,outros,f,g,b,w
e,p,y,outros,t,outros,f,p,b,w
e,p,y,outros,t,outros,f,outros,b,outros
e,p,outros,n,f,n,f,u,n,k
e,p,y,outros,t,outros,f,p,b,w
e,p,y,outros,t,outros,f,g,b,outros
e,e,outros,outros,f,n,f,g,b,k
e,e,outros,n,f,n,f,g,b,k
e,p,y,n,t,outros,f,outros,b,w
e,p,s,outros,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,g,b,w
e,e,s,n,f,n,f,g,b,p
e,p,y,n,t,outros,f,g,b,outros
e,p,outros,outros,f,n,f,u,n,k
e,p,s,outros,t,outros,f,d,n,w
e,p,y,outros,t,outros,f,g,b,w
e,p,y,n,t,outros,f,g,b,outros
e,p,y,n,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,outros,b,n
e,p,s,outros,t,outros,f,g,b,outros
e,p,s,outros,t,outros,f,outros,b,outros
e,p,y,outros,t,outros,f,g,b,n
e,p,outros,n,f,n,f,u,n,k
e,p,y,n,t,outros,f,g,b,n
e,p,y,n,t,outros,f,g,b,outros
e,p,y,n,t,outros,f,p,b,w
e,p,s,n,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,outros,b,w
e,p,y,outros,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,g,b,outros
e,p,outros,n,f,n,f,u,n,g
e,p,s,n,t,outros,f,g,b,outros
e,p,outros,outros,t,outros,f,d,n,n
e,p,y,outros,t,outros,f,g,b,w
e,p,y,n,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,outros,b,w
e,p,y,outros,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,g,b,outros
e,p,y,n,t,outros,f,outros,b,outros
e,p,s,n,t,outros,f,g,b,outros
p,p,y,n,t,outros,f,outros,n,outros
e,p,outros,n,f,n,f,u,n,g
e,p,outros,outros,f,n,f,u,n,g
e,p,s,n,t,outros,f,outros,b,outros
e,p,y,outros,t,outros,f,p,b,outros
p,p,y,outros,t,outros,f,g,n,outros
e,p,s,n,t,outros,f,outros,b,outros
e,p,outros,outros,f,n,f,u,n,p
e,p,y,n,t,outros,f,g,b,outros
e,p,y,n,t,outros,f,p,b,w
e,e,outros,outros,f,n,f,g,b,p
e,p,s,n,t,outros,f,d,n,w
e,p,s,n,t,outros,f,outros,b,w
e,p,s,n,t,outros,f,d,n,w
e,p,s,n,t,outros,f,outros,b,outros
e,p,outros,n,f,n,f,u,n,g
e,p,s,outros,t,outros,f,g,b,n
e,p,s,n,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,outros,b,n
e,p,s,n,t,outros,f,d,n,n
e,p,y,n,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,g,b,outros
e,e,outros,outros,f,n,f,g,b,h
e,p,y,outros,t,outros,f,p,b,n
p,p,s,n,t,outros,f,outros,n,outros
e,p,s,n,t,outros,f,g,b,n
e,p,s,outros,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,g,b,n
e,p,y,outros,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,outros,b,w
e,p,outros,n,t,outros,f,d,n,n
e,p,outros,n,f,n,f,u,n,n
e,p,y,n,t,outros,f,g,b,n
e,p,s,outros,t,outros,f,outros,b,n
e,p,s,outros,t,outros,f,g,b,outros
e,p,y,outros,t,outros,f,g,b,outros
e,p,y,n,t,outros,f,g,b,w
e,p,outros,n,f,n,f,u,n,p
e,p,s,n,t,outros,f,outros,b,n
p,p,s,outros,t,outros,f,g,n,outros
e,p,y,n,t,outros,f,g,b,n
e,p,outros,n,t,outros,f,d,n,outros
e,p,y,outros,t,outros,f,outros,b,outros
e,p,y,outros,t,outros,f,g,b,n
e,p,s,n,t,outros,f,g,b,outros
e,p,s,n,t,outros,f,g,b,outros
p,p,y,outros,t,outros,f,outros,n,outros
e,p,s,n,t,outros,f,g,b,n
e,p,outros,outros,f,n,f,u,n,n
p,p,y,outros,t,outros,f,outros,n,outros
e,p,y,n,t,outros,f,p,b,n
e,p,outros,outros,f,n,f,u,n,k
e,p,s,n,t,outros,f,g,b,outros
e,p,outros,n,t,outros,f,d,n,w
e,p,y,outros,t,outros,f,g,b,w
e,p,y,n,t,outros,f,g,b,n
e,p,y,outros,t,outros,f,g,b,n
e,p,y,outros,t,outros,f,p,b,outros
e,p,y,outros,t,outros,f,p,b,w
e,p,s,outros,t,outros,f,g,b,w
e,p,s,n,t,outros,f,outros,b,w
p,p,s,outros,t,outros,f,outros,n,n
e,p,outros,outros,t,outros,f,d,n,outros
e,p,s,n,t,outros,f,g,b,w
e,p,s,outros,t,outros,f,d,n,outros
e,p,y,outros,t,outros,f,outros,b,n
e,p,y,outros,t,outros,f,p,b,w
e,e,s,outros,f,n,f,g,b,p
e,p,y,n,t,outros,f,g,b,w
p,p,s,n,t,outros,f,g,n,outros
e,p,outros,n,f,n,f,u,n,g
e,p,y,n,t,outros,f,outros,b,w
e,p,s,n,t,outros,f,g,b,n
e,p,y,n,t,outros,f,outros,b,outros
e,p,outros,n,f,n,f,u,n,k
e,p,s,outros,t,outros,f,outros,b,w
e,p,y,outros,t,outros,f,g,b,outros
e,p,y,n,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,g,b,w
p,p,y,outros,t,outros,f,g,n,outros
e,p,s,n,t,outros,f,g,b,n
e,p,y,n,t,outros,f,outros,b,n
e,p,outros,outros,t,outros,f,d,n,w
e,p,outros,outros,f,n,f,u,n,g
e,e,s,outros,f,n,f,g,b,p
e,p,y,n,t,outros,f,outros,b,outros
e,p,s,n,t,outros,f,outros,b,outros
p,p,y,outros,t,outros,f,outros,n,w
e,p,s,outros,t,outros,f,outros,b,n
p,p,s,outros,t,outros,f,outros,n,w
e,p,y,n,t,outros,f,g,b,outros
e,p,y,n,t,outros,f,outros,b,outros
e,p,y,n,t,outros,f,p,b,n
e,p,y,n,t,outros,f,p,b,w
e,p,y,n,t,outros,f,g,b,w
